num,title,link,guid,pub_date,itunes_episode,is_noise,transcript_url_feed,transcript_url_raw,transcript_url_jsdelivr,transcript_url_final,vtt_source
011,B2P010 Matthias Masser - für Laib & Leben,https://www.bauertothepeople.at/2021/01/16/b2p010-matthias-masser-fur-laib-leben/,podlove-2020-10-25t11:49:14+00:00-784cd0a61f72f66,2020-10-25T13:14:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p010-matthias-masser-fur-laib-leben/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/011.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/011.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/011.vtt,github_raw
012,"B2P011 Theresa Imre (markta)  -  Wer A sagt, ...  (1/2)",https://www.bauertothepeople.at/2021/01/16/b2p011-theresa-imre-markta-wer-a-sagt-1-2/,podlove-2020-10-29t11:57:19+00:00-54b44828720cdfc,2020-11-01T15:16:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p011-theresa-imre-markta-wer-a-sagt-1-2/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/012.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/012.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/012.vtt,github_raw
013,B2P012 Theresa Imre (markta) - ... muss auch B machen! (2/2),https://www.bauertothepeople.at/2021/01/16/b2p012-theresa-imre-markta-muss-auch-b-machen-2-2/,podlove-2020-11-03t18:18:23+00:00-9d1da18d4577347,2020-11-08T14:04:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p012-theresa-imre-markta-muss-auch-b-machen-2-2/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/013.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/013.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/013.vtt,github_raw
014,B2P013 Hermann & Thomas Neuburger – Sag niemals nie …,https://www.bauertothepeople.at/2021/01/16/b2p013-hermann-thomas-neuburger-sag-niemals-nie/,podlove-2020-11-15t10:11:07+00:00-df72b20c9a48729,2020-11-15T12:10:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p013-hermann-thomas-neuburger-sag-niemals-nie/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/014.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/014.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/014.vtt,github_raw
015,B2P014 Micha Beiglböck (nahgenuss) – Der entspannte Verbinder,https://www.bauertothepeople.at/2021/01/16/b2p014-micha-beiglbock-nahgenuss-der-entspannte-verbinder/,podlove-2020-11-22t12:02:49+00:00-7e1b740f63c4169,2020-11-22T13:18:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p014-micha-beiglbock-nahgenuss-der-entspannte-verbinder/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/015.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/015.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/015.vtt,github_raw
016,"B2P015 Herbert Szyhska - Wachauer Marillenbauer, Quereinsteiger & kritischer Geist",https://www.bauertothepeople.at/2021/01/16/b2p015-herbert-szyhska-wachauer-marillenbauer-quereinsteiger-kritischer-geist/,podlove-2020-11-29t12:35:39+00:00-7cf1b3cebf114bf,2020-11-29T16:58:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p015-herbert-szyhska-wachauer-marillenbauer-quereinsteiger-kritischer-geist/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/016.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/016.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/016.vtt,github_raw
017,B2P016 Christian Bachler - Mutbauer,https://www.bauertothepeople.at/2021/01/16/b2p016-christian-bachler-mutbauer/,podlove-2020-12-06t10:20:52+00:00-03cb984c9329b3b,2020-12-06T13:20:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p016-christian-bachler-mutbauer/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/017.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/017.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/017.vtt,github_raw
018,B2P017 Markus Gruber - High-Tech Milch meets Tradition,https://www.bauertothepeople.at/2021/01/16/b2p017-markus-gruber-high-tech-milch-meets-tradition/,podlove-2020-12-13t08:52:29+00:00-b127d6b62b95629,2020-12-13T11:32:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p017-markus-gruber-high-tech-milch-meets-tradition/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/018.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/018.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/018.vtt,github_raw
019,B2P018 Josef Reithner - Christbaumbauer,https://www.bauertothepeople.at/2021/01/16/b2p018-josef-reithner-christbaumbauer/,podlove-2020-12-20t09:14:31+00:00-b35f925659acf27,2020-12-20T12:50:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p018-josef-reithner-christbaumbauer/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/019.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/019.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/019.vtt,github_raw
020,B2P019 Thomas Weber (BIORAMA) – Wie sieht ein Journalist die Welt?,https://www.bauertothepeople.at/2021/01/16/b2p019-thomas-weber-biorama-wie-sieht-ein-journalist-die-welt/,podlove-2020-12-27t10:10:51+00:00-9cc9a79c075276a,2020-12-27T11:35:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p019-thomas-weber-biorama-wie-sieht-ein-journalist-die-welt/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/020.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/020.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/020.vtt,github_raw
021,B2P020 Olga & Markus Voglauer (Biohof Kumer | Bio-kmetija pri Kumru) - Logische Landwirtschaft mit Jersey-Kühen und Direktvermarktung,https://www.bauertothepeople.at/2021/01/16/b2p020-olga-markus-voglauer-biohof-kumer-bio-kmetija-pri-kumru-logische-landwirtschaft-mit-jersey-kuhen-und-direktvermarktung/,podlove-2021-01-03t12:23:39+00:00-d3e58ae743b91a7,2021-01-03T15:02:00+01:00,,False,https://www.bauertothepeople.at/2021/01/16/b2p020-olga-markus-voglauer-biohof-kumer-bio-kmetija-pri-kumru-logische-landwirtschaft-mit-jersey-kuhen-und-direktvermarktung/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/021.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/021.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/021.vtt,github_raw
022,B2P021 Familie Pichler - Lämmerproduzenten und Lohnunternehmer,https://www.bauertothepeople.at/2021/01/17/b2p021_familie-pichler_lammerproduzent_und_lohnunternehmer/,06be813bbb98bd1ab15aa7181d0519c2,2021-01-17T12:55:00+01:00,,False,https://www.bauertothepeople.at/2021/01/17/b2p021_familie-pichler_lammerproduzent_und_lohnunternehmer/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/022.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/022.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/022.vtt,github_raw
023,B2P022 Florian Eberhard - Bio-Hühnermast,https://www.bauertothepeople.at/,be94f4e5cbf76b6f3edb5349262fd4eb,2021-01-31T01:05:00+01:00,,False,https://www.bauertothepeople.at/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/023.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/023.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/023.vtt,github_raw
024,B2P023 Viktoria Eichinger & Familie - Ferkelaufzucht & Schweinemast,https://www.bauertothepeople.at/b2p023-viktoria-eichinger-familie-ferkelaufzucht-und-schweinemast/,56663f72bf600374f7f1d369bd634743,2021-02-14T10:12:00+01:00,,False,https://www.bauertothepeople.at/b2p023-viktoria-eichinger-familie-ferkelaufzucht-und-schweinemast/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/024.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/024.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/024.vtt,github_raw
025,B2P024 Urs Niggli - Der pragmatische Visionär und die Zukunft der (Bio-) Landwirtschaft,https://www.bauertothepeople.at/2021/02/28/b2p024-urs-niggli-der-pragmatische-visionaer/,9bff0996799289437f96d3bc76315f73,2021-02-28T09:40:00+01:00,,False,https://www.bauertothepeople.at/2021/02/28/b2p024-urs-niggli-der-pragmatische-visionaer/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/025.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/025.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/025.vtt,github_raw
026,"B2P025 Martin Schrall und Familie – Von Eiern, Hühnern und dem Osterhasen",https://www.bauertothepeople.at/,194396573e085a7e51ba9b8a2acf8d81,2021-03-14T09:15:00+01:00,,False,https://www.bauertothepeople.at/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/026.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/026.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/026.vtt,github_raw
027,B2P026 Stefanie und Ferdinand Köberl vom Gredlbauer - Legenhennen im Mobilstall und Direktvermarktung,https://www.bauertothepeople.at/,9288fd48c4ff3efdbf652e9add7a373d,2021-03-28T09:49:00+02:00,,False,https://www.bauertothepeople.at/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/027.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/027.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/027.vtt,github_raw
028,B2P027 Hans-Peter Schlegl vom Hofveitl - Boden- und Freilandeier und Direktvermarktung,https://www.bauertothepeople.at/,42f6ee80f100589fcec4435f05823931,2021-04-04T10:10:00+02:00,,False,https://www.bauertothepeople.at/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/028.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/028.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/028.vtt,github_raw
029,B2P028 Familie Berger | Bergerschinken - Fleischverarbeitung vom Schwein bis zum Schinken,https://www.bauertothepeople.at/b2p028-familie-berger-bergerschinken-fleischverarbeitung-vom-schwein-bis-zum-schinken/,3b04feada3a37251b6f2d050a58a4111,2021-04-18T10:20:00+02:00,,False,https://www.bauertothepeople.at/b2p028-familie-berger-bergerschinken-fleischverarbeitung-vom-schwein-bis-zum-schinken/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/029.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/029.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/029.vtt,github_raw
030,"B2P029 Georg Doppler - Von blonden Rindern, Direktvermarktung und Sozialen Medien",https://www.bauertothepeople.at/2021/05/02/b2p029-georg-doppler-von-blonden-rindern-direktvermarktung-und-sozialen-medien/,2bb373dac30394fd932357f5181d0b8d,2021-05-02T11:05:00+02:00,,False,https://www.bauertothepeople.at/2021/05/02/b2p029-georg-doppler-von-blonden-rindern-direktvermarktung-und-sozialen-medien/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/030.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/030.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/030.vtt,github_raw
031,B2P030 Werner Magoschitz - Der Herr über den Spargel,https://www.bauertothepeople.at/2021/05/10/b2p030-werner-magoschitz-der-herr-ueber-den-spargel/,0811524e80044d66a683b2391187efed,2021-05-10T17:01:00+02:00,,False,https://www.bauertothepeople.at/2021/05/10/b2p030-werner-magoschitz-der-herr-ueber-den-spargel/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/031.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/031.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/031.vtt,github_raw
032,B2P031 Roland Soyka (Stuwer) - Ein Tiroler und das neue Wiener Beisl,https://www.bauertothepeople.at/2021/05/18/b2p031-roland-soyka-stuwer-ein-tiroler-und-das-neue-wiener-beisl/,dd183bad7a8d4890b8ec104b8ae65ebf,2021-05-18T10:52:00+02:00,,False,https://www.bauertothepeople.at/2021/05/18/b2p031-roland-soyka-stuwer-ein-tiroler-und-das-neue-wiener-beisl/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/032.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/032.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/032.vtt,github_raw
033,"B2P032 Christian Dürnberger - Moral, Ethik, Tiere und Philosophie",https://www.bauertothepeople.at/2021/05/30/b2p032-christian-duernberger-moral-ethik-tiere-und-philosophie/,71683ee9cd804e369cdb779e53fee86e,2021-05-30T14:00:00+02:00,,False,https://www.bauertothepeople.at/2021/05/30/b2p032-christian-duernberger-moral-ethik-tiere-und-philosophie/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/033.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/033.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/033.vtt,github_raw
034,B2P033 Franz und Markus Pannagl - Mit Herz und Ochsenherz(paradeiser),https://www.bauertothepeople.at/2021/09/08/b2p033-franz-und-markus-pannagl-mit-herz-und-ochsenherzparadeiser/,c5a165b280d24051a083ec3a8c7d9b74,2021-06-20T17:00:00+02:00,,False,https://www.bauertothepeople.at/2021/09/08/b2p033-franz-und-markus-pannagl-mit-herz-und-ochsenherzparadeiser/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/034.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/034.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/034.vtt,github_raw
035,"B2P034 Thomas Reisecker - Ackerbau, Schweinmast und ein nachdenklicher Landwirt",https://www.bauertothepeople.at/2021/09/09/b2p034-thomas-reisecker-ackerbau-schweinmast-und-ein-nachdenklicher-landwirt/,4de1df2f6a6549b9b2956b7c16b7bb8c,2021-07-04T10:32:00+02:00,,False,https://www.bauertothepeople.at/2021/09/09/b2p034-thomas-reisecker-ackerbau-schweinmast-und-ein-nachdenklicher-landwirt/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/035.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/035.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/035.vtt,github_raw
036,Ahaa! - Der Weg vom Schwein zum Schinken,https://www.bauertothepeople.at/ahaa-der-weg-vom-schwein-zum-schinken/,41a1c12379014fcab24ead52464c47a8,2021-07-11T15:00:00+02:00,,False,https://www.bauertothepeople.at/ahaa-der-weg-vom-schwein-zum-schinken/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/036.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/036.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/036.vtt,github_raw
037,Ahaa! - Der Unterschied zwischen Boden- und Freilandhaltung bei Legehennen,https://www.bauertothepeople.at/,2a6ec90610a049c98de0cc47c96d04da,2021-07-11T15:00:00+02:00,,False,https://www.bauertothepeople.at/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/037.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/037.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/037.vtt,github_raw
038,"B2P035 Martina, Roman und Martin Schmit - Die Bio-Ackerbau Familie",https://www.bauertothepeople.at/2021/09/09/b2p035-martina-roman-und-martin-schmit-die-bio-ackerbau-familie/,4e46f75a78794f68ae3735516aa3cef7,2021-07-18T09:03:00+02:00,,False,https://www.bauertothepeople.at/2021/09/09/b2p035-martina-roman-und-martin-schmit-die-bio-ackerbau-familie/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/038.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/038.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/038.vtt,github_raw
039,Ahaa! - Der Weg der Legehenne,https://www.bauertothepeople.at/,0c2911eb62874ba78fb81f276b67c4a3,2021-07-26T06:17:00+02:00,,False,https://www.bauertothepeople.at/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/039.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/039.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/039.vtt,github_raw
040,"B2P036 - Rudolf Winkelmayer - Tierarzt, Großwildjäger, Veganer",https://www.bauertothepeople.at/2021/09/09/b2p036-rudolf-winkelmayer-tierarzt-grosswildjaeger-veganer/,5263c3ddd2c640d1a8e9f9a1d96f26ee,2021-08-01T09:22:00+02:00,,False,https://www.bauertothepeople.at/2021/09/09/b2p036-rudolf-winkelmayer-tierarzt-grosswildjaeger-veganer/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/040.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/040.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/040.vtt,github_raw
041,Ahaa! - Woher kommt der typische Geschmack der Frankfurter,https://www.bauertothepeople.at/2021/09/09/ahaa-woher-kommt-der-typische-geschmack-der-frankfurter/,0fa4c9d2480043248da471ae3aad003c,2021-08-08T11:39:00+02:00,,False,https://www.bauertothepeople.at/2021/09/09/ahaa-woher-kommt-der-typische-geschmack-der-frankfurter/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/041.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/041.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/041.vtt,github_raw
042,"B2P037 Markus Freiinger (vomLand) - Landwirtschaft, Daten und Direktvermarktung",https://www.bauertothepeople.at/2021/09/09/b2p37-markus-freiinger-vomland-landwirtschaft-daten-und-direktvermarktung/,7f9d1adee66642129b611c4cf2d65e70,2021-08-15T09:29:00+02:00,,False,https://www.bauertothepeople.at/2021/09/09/b2p37-markus-freiinger-vomland-landwirtschaft-daten-und-direktvermarktung/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/042.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/042.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/042.vtt,github_raw
043,Ahaa! - Was passiert mit den männlichen Küken in der Eierproduktion?,https://www.bauertothepeople.at/,faccb48781564316a2ec22bccc2ad606,2021-09-01T09:31:00+02:00,,False,https://www.bauertothepeople.at/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/043.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/043.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/043.vtt,github_raw
044,B2P038 Thomas Eichwald - Ein Koch am Wörthersee,https://www.bauertothepeople.at/2021/09/09/b2p038-thomas-eichwald-ein-koch-am-woerthersee/,4914c40f6db740af907153d1c72312de,2021-09-05T08:48:00+02:00,,False,https://www.bauertothepeople.at/2021/09/09/b2p038-thomas-eichwald-ein-koch-am-woerthersee/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/044.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/044.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/044.vtt,github_raw
045,B2P039 David Richter (VGT) - Mit Ruhe und Megafon auf der Seite der Tiere,https://www.bauertothepeople.at/2021/09/09/b2p039-david-richter-vgt-mit-ruhe-und-megafon-auf-der-seite-der-tiere/,520d4a75de3e44adba9b24d19034a237,2021-09-19T09:12:00+02:00,,False,https://www.bauertothepeople.at/2021/09/09/b2p039-david-richter-vgt-mit-ruhe-und-megafon-auf-der-seite-der-tiere/transcript.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/045.vtt,https://cdn.jsdelivr.net/gh/b2p-hub/b2p-vtts@main/045.vtt,https://raw.githubusercontent.com/b2p-hub/b2p-vtts/main/045.vtt,github_raw
